2017-05-11 17:24:56.213 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(71) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | Using SLF4J as the default logging framework
2017-05-11 17:24:56.218 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.eventLoopThreads: 8
2017-05-11 17:24:56.232 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | java.nio.Buffer.address: available
2017-05-11 17:24:56.233 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | sun.misc.Unsafe.theUnsafe: available
2017-05-11 17:24:56.233 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(71) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | sun.misc.Unsafe.copyMemory: available
2017-05-11 17:24:56.234 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | java.nio.Bits.unaligned: true
2017-05-11 17:24:56.235 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(71) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | Platform: Windows
2017-05-11 17:24:56.235 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | Java version: 8
2017-05-11 17:24:56.236 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.noUnsafe: false
2017-05-11 17:24:56.236 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | sun.misc.Unsafe: available
2017-05-11 17:24:56.237 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.noJavassist: false
2017-05-11 17:24:56.246 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(71) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | Javassist: available
2017-05-11 17:24:56.246 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.tmpdir: C:\Users\DUANZO~1\AppData\Local\Temp (java.io.tmpdir)
2017-05-11 17:24:56.247 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2017-05-11 17:24:56.247 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.noPreferDirect: false
2017-05-11 17:24:56.272 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.noKeySetOptimization: false
2017-05-11 17:24:56.272 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(76) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.selectorAutoRebuildThreshold: 512
2017-05-11 17:24:56.984 | main | DEBUG | i.n.u.i.l.Slf4JLogger:Slf4JLogger.java(71) |  |  |  |  |  |  |  | %PARSER_ERROR[chain] |  |  |  | -Dio.netty.initialSeedUniquifier: 0xef4fbd0969760ee2 (took 2 ms)
